Time,Flowrate,COD,NH4+NH3,NO3+NO2,TKN,Alkalinity,TSS
0.0,1000.0,227.8376634999389,0.8681927333403824,50.64521477286587,18.736749495747716,2.7909264013689414,369.7563264941522
3.5,822.8745190126017,248.2521816894175,0.6477723120373812,48.95498369547042,17.177303421111592,3.583855807426177,372.3861148070866
7.0,878.8511487880508,265.6599314472428,0.7034863499338004,39.81959718749505,19.54535150149112,6.111511179072646,372.10102662508405
10.5,928.0740862866968,283.6294473371406,0.7742165356701799,40.51378104542761,17.163192776408742,8.341377843471832,351.59005763896994
14.0,941.9686552041895,274.214114239739,0.7692251214632707,39.95174077394437,14.88295337653642,7.644235527656368,329.2126759300153
17.5,977.6447107814536,264.33990406408014,0.7437851392473592,48.615310215683614,15.804775255825968,7.470706014869076,289.7660109751433
21.0,1086.967453320535,265.46672160892945,0.9168135622295934,50.06342879512295,16.518110512933116,11.597357517450773,271.09865625083216
24.5,1168.866747461863,246.4023692581185,0.9195889008924076,40.89621271965264,16.45496532603846,12.238424904248705,250.4364293558587
28.0,1020.8495305465938,246.08483237938785,1.0652559427378112,41.87664812326571,19.146622565397262,13.467219408814382,268.57490820569444
31.5,957.2420509515591,225.6275448030397,1.2424052602333169,43.552092232646224,21.991609399377285,13.666158749241102,294.5796530360125
35.0,1002.4638576559067,226.66416608131078,2.0166903883039375,48.94898041028036,21.636738915877643,14.021578553824726,277.2515373257566
38.5,1197.2410450834327,233.73144983372663,1.4088625257073772,49.44407829557892,18.80729119327593,16.740278150304096,287.416093815359
42.0,1068.2517462267288,208.978025702347,1.6788707990756668,42.187003235218036,14.362334064118365,15.872016740833397,309.94013805764183
45.5,1241.4251578032065,197.69950728754856,2.4590868949135554,31.57110338724796,8.392977193369694,17.42442904891393,289.3900825530237
49.0,1275.1875651796706,203.45596160801512,3.773204797029041,21.16904140997114,11.145907911033945,18.84579925626292,308.2561017815605
52.5,1346.854812817863,165.33838742567633,3.977103010651347,29.12243930911482,10.280081579077335,17.667658260922064,312.4129455655693
56.0,1240.1628904009642,181.19930211302176,2.8166602534449736,32.77815763076577,13.88870490079528,13.585600880006474,301.5979021192997
59.5,1399.5591935451644,195.72397302204598,2.1175684372443953,31.5056915287943,15.404179877787392,11.894693190635993,289.888455482881
63.0,1423.7254514467024,197.91100577158034,7.106283662292163,20.895441687266967,19.736417369215648,12.244548591006426,316.1000620349843
66.5,1402.349070497079,159.44727480814623,6.444270560855105,14.768686778137278,22.33767616602053,11.366535962309094,323.7865460375828
70.0,1331.93873313646,168.3425096219579,5.140517488141228,17.562160606442472,27.566181835699776,11.194301264430605,316.9206596688983
73.5,1469.7036982649522,182.4905097262861,1.3408522217753078,20.193745003381093,23.981815239242547,10.990044837828354,279.092004660189
77.0,1432.2967180796215,206.58193545312665,0.5719529904842364,12.25976641352642,21.716825822546014,10.232492147780256,256.53157418003184
80.5,1365.5606697790397,224.0221946823058,0.69672283139533,14.61697474805005,26.361280114767634,11.367973195534297,245.96953669753404
84.0,1260.6106266891077,220.15833502755788,0.7850889346556297,19.504072924357406,29.98039310840213,13.29054775695275,228.6472609720036
87.5,1364.0980286472113,235.94511800155684,0.7007685852529874,19.0662082552874,32.334417066349054,12.564265932187393,228.13522440602236
91.0,1397.8159603648396,253.55507499905872,1.166484327802046,29.30646055155328,36.50043128739545,8.886043102431454,239.08765089116014
94.5,1409.516828758282,250.1849627857514,0.7309267879093941,33.231502818431615,38.20806109768671,6.808194656003915,234.2067100127215
98.0,1412.4669887770497,259.03348536338024,1.0869389176584263,36.71468064422804,38.64266969222685,6.876441746981833,228.4873397630028
